track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
spotify:track:1qOljAaKJiPL5GPK6UaAYx,0.455,0.354,0,-10.816,1,0.0287,0.086,0.0059,0.3379999999999999,0.396,98.126,232133
spotify:track:0WCXFE3RTTUzhufeeee227,0.546,0.621,10,-11.828,1,0.0306,0.588,0.00216,0.0754,0.624,82.81700000000002,348493
spotify:track:3T8Ye4NB0MQhcEcxzMdAuH,0.563,0.42,7,-12.566,1,0.0311,0.818,2.24e-05,0.122,0.46,139.373,318947
spotify:track:6V50MyHPGhEmwYu0Wdyf0t,0.5820000000000001,0.6890000000000001,7,-12.203,1,0.0277,0.607,0.0571,0.145,0.531,111.166,297853
spotify:track:1OTH0AgyDuo6KZ8BwHVRD1,0.428,0.304,0,-16.129,1,0.0344,0.259,0.00104,0.152,0.414,113.949,140200
spotify:track:4buDeg67vos7KP1yHrS9wl,0.787,0.522,0,-13.029000000000002,0,0.0578,0.0126,1.34e-06,0.0671,0.923,111.576,249960
spotify:track:2unWjXOcFWT2vlleStTEJy,0.669,0.4320000000000001,3,-12.854,1,0.0407,0.136,3.75e-05,0.21,0.53,152.16,263533
spotify:track:1cy5US2dffz6QGBAIzOGkq,0.597,0.282,11,-17.23,1,0.0256,0.285,0.0,0.105,0.301,134.797,263933
spotify:track:6CCYX0JVy5qYqUvWpCvHXh,0.721,0.765,6,-13.036,1,0.0345,0.0344,2.83e-06,0.322,0.948,119.95,241840
spotify:track:1YRYH7Mur9P9bzrzKuIABA,0.551,0.34,2,-11.819,1,0.0243,0.139,0.0,0.228,0.386,137.059,215000
spotify:track:16flEBCtUF67V5yO0GxYWn,0.763,0.552,6,-11.98,1,0.0449,0.119,0.000695,0.28,0.7440000000000001,90.775,256560
spotify:track:0tR5UlPfzoypZrpeUdfUQN,0.624,0.2789999999999999,8,-14.408,1,0.0314,0.621,0.0,0.0713,0.417,141.296,251307
spotify:track:2VEd6S6vdO4BwNp8FWR7H8,0.8009999999999999,0.52,0,-12.519,0,0.0462,0.0405,7.75e-05,0.0467,0.906,111.288,235267
spotify:track:0PjTQwoQBx9Dr8BdCp73U0,0.715,0.528,7,-14.799,1,0.0609,0.00809,8.290000000000001e-05,0.2189999999999999,0.4539999999999999,115.172,328027
spotify:track:3tXYfKiIijnJ36OR4LZFKw,0.747,0.395,10,-15.378,1,0.0542,0.0159,1.5e-05,0.0752,0.648,105.691,217667
spotify:track:1ByE7lUw6wWMTbCb3woHdK,0.3339999999999999,0.903,8,-3.812,1,0.209,0.00179,0.0118,0.0558,0.487,70.62100000000002,176693
spotify:track:31RTFPrB7wmYBhlkM2ILXG,0.451,0.889,1,-2.693,1,0.261,0.0016699999999999,0.00215,0.258,0.586,131.07299999999998,153800
spotify:track:4vAHXnJ5YWLq5hbIVzZS1h,0.46,0.54,5,-5.1320000000000014,1,0.0381,0.0324,0.0168,0.326,0.0506,137.855,215440
spotify:track:3gY25vepRvvspuoAfxCyRO,0.29,0.937,8,-3.557,1,0.1369999999999999,0.0002379999999999,0.0589,0.317,0.408,148.357,205800
spotify:track:5Q7m1Km199HHMB926xxbrs,0.365,0.939,8,-3.523,1,0.0831,0.0831,5.58e-05,0.0947,0.527,98.646,160493
spotify:track:53QqFzAWnl7D8IVBvCmRtc,0.5329999999999999,0.8340000000000001,5,-5.525,0,0.0369,0.000892,0.532,0.1969999999999999,0.355,110.543,244093
